TEAM_NAME,AVG_ATT,AVG_DEF,MP,ATT_Raiting,DEF_Raiting
Atlanta Hawks,36,84,92,0.728337959,1.699455237
Boston Celtics,37,83,177,0.389087007,0.8728168
Brooklyn Nets,38,84,54,1.309809415,2.895368181
Charlotte Bobcats,41,94,4,19.0784082,43.74074074
Charlotte Hornets,36,93,7,9.572441743,24.72880784
Chicago Bulls,35,83,62,1.050738453,2.491751188
Cleveland Cavaliers,38,83,100,0.707297084,1.544885737
Dallas Mavericks,38,83,96,0.736767796,1.609255976
Denver Nuggets,40,87,100,0.744523247,1.619338061
Detroit Pistons,42,97,8,9.771867612,22.56836091
Golden State Warriors,41,87,159,0.479959955,1.018451611
Houston Rockets,37,86,85,0.810216474,1.883205859
Indiana Pacers,36,80,98,0.683745839,1.519435197
LA Clippers,39,85,63,1.152238358,2.511288729
Los Angeles Clippers,38,83,44,1.607493373,3.511103947
Los Angeles Lakers,39,84,76,0.955144955,2.057235287
Memphis Grizzlies,37,86,86,0.800795353,1.861308117
Miami Heat,37,80,178,0.386901125,0.836542974
Milwaukee Bucks,40,88,95,0.783708681,1.724159098
Minnesota Timberwolves,39,85,33,2.199727774,4.794278482
New Orleans Hornets,39,88,6,12.09850276,27.29918571
New Orleans Pelicans,41,90,24,3.179734699,6.979905437
New York Knicks,36,85,52,1.288597927,3.042522883
Oklahoma City Thunder,37,83,119,0.578726053,1.298223308
Orlando Magic,35,85,30,2.171526136,5.27370633
Philadelphia 76ers,38,84,87,0.812985154,1.797125078
Phoenix Suns,42,85,51,1.532841978,3.102180194
Portland Trail Blazers,38,89,68,1.040142771,2.436123859
Sacramento Kings,47,110,7,12.4973545,29.24912755
San Antonio Spurs,39,83,109,0.665972629,1.417326364
Toronto Raptors,37,84,92,0.748569569,1.699455237
Utah Jazz,38,84,55,1.285994699,2.842725124
Washington Wizards,38,85,45,1.571771298,3.51580422
null,null,null,null,null,null